VN	1	38	Theo truyền thuyết thời An Dương Vương, một người có sức mạnh phi thường ở nước ta đã bị nạp sang nước Tần để chỉ huy chống quân Hung Nô. Sau này khi về nước, vì không muốn trở lại Tần, ông đã tự vẫn. Người đó là ai?	Cao Lỗ	Lý Ông Trọng	Nguyễn Minh Không	Lê Phụng Hiểu	B	M	-	-
VN	1	39	Theo truyền thuyết, An Dương Vương chết ở đâu?	Hà Nội	Nghệ An	Phú Thọ	Thanh Hoá	B	H	-	-
VN	1	40	Thời Triệu (Nam Việt) đô hộ (thế kỉ II TCN), nước ta được chia thành các đơn vị hành chính nào?	2 quận: Giao Chỉ, Cửu Chân	3 quận: Giao Chỉ, Cửu Chân, Nhật Nam	1 châu: Giao Châu	1 phủ: An Nam đô hộ phủ	A	H	-	-
VN	1	41	Thời Hán đô hộ (thế kỉ II TCN - III SCN), nước ta được chia thành các đơn vị hành chính nào?	2 quận: Giao Chỉ, Cửu Chân	3 quận: Giao Chỉ, Cửu Chân, Nhật Nam	1 phủ: Tĩnh Hải phủ	1 phủ: An Nam đô hộ phủ	B	H	-	-
VN	1	42	Thái thú nhà Hán phải cắt tóc, cạo râu, lẩn trong đám loạn quân chạy về nước trong cuộc khởi nghĩa Hai Bà Trưng là ai?	Tô Định	Ngô Diên Hựu	Quang Sở Khách	Mã Viện	A	E	-	-
VN	1	43	Năm 42, tướng nào của nhà Hán được phái sang đánh dẹp khởi nghĩa Hai Bà Trưng?	Mã Viện	Trần Bá Tiên	Lưu Hoằng Tháo	Lục Dận	A	M	-	-
VN	1	44	Nước ta nằm dưới ách đô hộ của nước nào trong các nước thời Tam quốc ở Trung Quốc?	Tấn	Nguỵ	Thục	Ngô	D	E	-	-
VN	1	45	Cuộc khởi nghĩa lớn nhất chống ách đô hộ của Trung Quốc thời Tam quốc, diễn ra năm 248, bùng nổ tại Thanh Hoá, là khởi nghĩa nào?	Lý Bí	Bà Triệu	Phùng Hưng	Mai Thúc Loan	B	E	-	-
VN	2	46	Người Việt Nam nào đã phát minh ra súng thần công?	Hồ Nguyên Trừng	Hồ Hán Thương	Lê Quý Đôn	Vũ Hữu	A	M	-	-
VN	2	47	Những vua nào thời Tiền Lê được truy tôn miếu hiệu? (Miếu hiệu của một vua Việt Nam bắt đầu bằng họ của vua, tiếp đến là một chữ và cuối cùng là chữ "Tổ" hoặc "Tông", ví dụ Lí Thái Tổ, Trần Thái Tông)	Lê Hoàn, Lê Long Việt	Lê Hoàn	Lê Long Việt	Lê Long Việt, Lê Long Đĩnh	C	H	-	-
VN	2	48	Ba người con của vua Lê Thái Tông từng ở ngôi vua là những ai?	Lê Nhân Tông, Lê Thánh Tông, Lê Hiến Tông	Lê Nhân Tông, Lê Thánh Tông, Lê Nghi Dân (Lạng Sơn Vương)	Lê Thánh Tông, Lê Hiến Tông, Lê Nghi Dân (Lạng Sơn Vương)	Lê Nhân Tông, Lê Hiến Tông, Lê Nghi Dân (Lạng Sơn Vương)	B	H	-	-
VN	2	49	Vua nào thời nhà Trần có 5 người con đều làm vua?	Trần Nhân Tông	Trần Anh Tông	Trần Minh Tông	Trần Nghệ Tông	C	H	-	-
VN	2	50	Vân Đồn, thương cảng Việt Nam đầu tiên thời phong kiến, được mở dưới thời vua nào?	Lý Thần Tông (1135)	Lý Anh Tông (1149)	Lý Cao Tông (1177)	Lý Huệ Tông (1211)	B	H	-	-
VN	2	51	Quốc hiệu Đại Việt được sử dụng từ thời vua nào của Việt Nam?	Lý Thái Tổ	Lý Thánh Tông	Lý Nhân Tông	Lý Thần Tông	B	H	-	-
VN	2	52	Vương triều nào dưới đây có thời gian trị vì lâu nhất tại Việt Nam?	Nhà Lý (do Lý Thái Tổ thành lập)	Nhà Trần (do Trần Thái Tông thành lập)	Nhà Hậu Lê (do Lê Thái Tổ thành lập)	Nhà Nguyễn (do Gia Long thành lập)	C	M	-	-
VN	2	53	Thủ khoa thi đình đầu tiên trong lịch sử Việt Nam (thời Lý Nhân Tông) là ai?	Mạc Đĩnh Chi	Nguyễn Hiền	Lê Văn Thịnh	Lương Thế Vinh	C	H	-	-
VN	2	54	Sự thăng tiến của Lý Công Uẩn trong triều Tiền Lê và việc sau này ông được suy tôn làm vua có sự trợ giúp đắc lực của thiền sư nào?	Mãn Giác	Vạn Hạnh	Pháp Thuận	Dương Không Lộ	B	M	-	-
VN	2	55	Lý Thái Tổ dời đô từ Hoa Lư về Thăng Long vào năm nào?	1009	1010	1042	1054	B	M	-	-
VN	2	56	Vua nào ở thời Lý khi lên ngôi có sự tranh chấp với em, phải dẹp bằng binh đao? (Sử cũ gọi là Loạn Tam vương)	Lý Thái Tông	Lý Thánh Tông	Lý Nhân Tông	Lý Anh Tông	A	H	-	-
VN	2	57	Sự kiện nào dưới đây không thuộc giai đoạn cai trị của vua Lý Thái Tông (1028-1054)?	Ban hành bộ luật Hình Thư	Xây dựng chùa Một Cột	Dẹp loạn Nùng Trí Thông, Nùng Trí Cao	Sáp nhập các châu Địa Lý, Ma Linh, Bố Chính (Quảng Bình) vào Đại Việt	D	H	-	-
VN	2	58	Trận chiến ở phòng tuyến sông nào đánh dấu kết thúc thắng lợi của chiến tranh chống quân Tống năm 1077?	Bạch Đằng	Đản Nãi	Như Nguyệt	Lãnh Kinh	C	M	-	-
VN	2	59	Tướng nhà Tống chỉ huy quân xâm lược Đại Việt năm 1076-1077 là ai?	Hầu Nhân Bảo	Quách Quỳ	Toa Đô	Mộc Thạnh	B	M	-	-
VN	2	60	Với 56 năm cai trị, vua nào ở ngôi lâu nhất trong lịch sử Việt Nam thời phong kiến?	Lý Nhân Tông	Trần Nhân Tông	Lê Nhân Tông	Lê Hiển Tông	A	H	-	-
VN	2	61	Dòng nào dưới đây liệt kê đúng và đầy đủ nhất các vua nhà Lý lên ngôi khi tuổi còn nhỏ (dưới 18 tuổi)?	Lý Nhân Tông, Lý Thần Tông, Lý Anh Tông, Lý Chiêu Hoàng	Lý Nhân Tông, Lý Thần Tông, Lý Cao Tông, Lý Chiêu Hoàng	Lý Nhân Tông, Lý Thần Tông, Lý Anh Tông, Lý Cao Tông, Lý Chiêu Hoàng	Lý Nhân Tông, Lý Thần Tông, Lý Anh Tông, Lý Cao Tông, Lý Huệ Tông, Lý Chiêu Hoàng	D	H	-	-
VN	2	62	Đầu thời Trần, triều đình lấy nguyên do nào để yêu cầu người họ Lý trong nước ta đổi họ?	Nhiều người lấy cớ "Phù Lý diệt Trần" nổi dậy chống triều đình	Cầu an cho vua Lý Huệ Tông	Tránh phạm huý với Trần Lý, người khởi đầu cơ nghiệp họ Trần	Giữ họ Lý duy nhất cho các nhà sư, tăng lữ có vai vế trong triều	C	M	-	-
VN	2	63	Bạo loạn do ai gây ra thời Lý Cao Tông khiến Lý Cao Tông, hoàng hậu và thái tử Lý Hạo Sảm phải bỏ kinh thành ẩn nấp tại Quy Hoá và Hải Ấp?	Phạm Du	Phạm Bỉnh Di	Quách Bốc	Đoàn Thượng	C	H	-	-
VN	2	64	Quốc giáo của Việt Nam thời Lý là tôn giáo nào?	Nho giáo	Phật giáo	Đạo giáo	Thiên Chúa giáo	B	E	-	-
VN	2	65	Nhà Lý chia cả nước thành 24 đơn vị hành chính với tên gọi đơn vị là gì?	Lộ, phủ	Châu, quận	Đạo thừa tuyên	Tỉnh, phủ	A	H	-	-
VN	2	66	Việc vua đích thân cày ruộng tịch điền ở nước ta xuất hiện từ triều đại nào?	Đinh	Tiền Lê	Lý	Trần	B	H	-	-
VN	2	67	Trong 4 công trình dưới đây ("An Nam tứ đại khí" của Đại Việt), công trình nào không được chế tác, xây dựng thời Lý?	Tượng Phật chùa Quỳnh Lâm	Vạc Phổ Minh	Tháp Báo Thiên	Chuông Quy Điền	B	H	-	-
VN	2	68	Thái sư Lê Văn Thịnh thời Lý đã dùng tài ngoại giao đòi lại được châu Quảng Nguyên do nhà Tống cướp trong chiến tranh 1076-1077. Châu Quảng Nguyên tương ứng các tỉnh nào ngày nau?	Hà Giang, Lào Cai	Điện Biên, Lào Cai	Cao Bằng, Lạng Sơn	Tuyên Quang, Thái Nguyên	C	H	-	-
VN	2	69	Thời Lý, Đại Việt không có chiến tranh với quốc gia nào sau đây?	Trảo Oa	Chân Lạp	Đại Lý	Chiêm Thành	A	H	-	-
VN	3	70	Tứ nguyệt tam vương là cụm từ mô tả sự lên ngôi của 3 vua liên tiếp của triều Nguyễn chỉ trong vòng 4 tháng. Đó là các vua nào?	Dục Đức, Hiệp Hoà, Kiến Phúc	Hiệp Hoà, Kiến Phúc, Hàm Nghi	Kiến Phúc, Hàm Nghi, Đồng Khánh	Hàm Nghi, Đồng Khánh, Thành Thái	A	H	-	-
VN	3	71	Năm 1866, "không tốn một viên đạn", thực dân Pháp đã lấy được 3 tỉnh nào của nước ta?	Gia Định, Định Tường, Biên Hoà	Nam Định, Hà Nam, Kinh Bắc	Thanh Hoá, Nghệ An, Hà Tĩnh	Vĩnh Long, An Giang, Hà Tiên	D	H	-	-
